brand,rating,price,processor_brand,num_processor,processor_speed,ram,memory_inbuilt,battery_capacity,charger,charging,display_size_inches,pixel,resolution_width,resolution_height,ppi,frequency_display_hz,primary_front_camera,secondry_front_camera,primary_rear_camera,secondry_rear_camera,os_brand,version,memory_card_upto,sim,is_5G,is_wifi
iKall,4.25,3499,Single,1.0,1.2,0.512,4.0,2800.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,0.3,0.0,2.0,0.0,Unknown,0.0,32GB,Dual Sim,not_available,Wi-Fi
Samsung,4.4,6750,Spreadtrum,4.0,1.5,5.0,8.0,4000.0,0.0,Unknown,7.0,1280x800,1280.0,800.0,215.6338544470081,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,256GB,Dual Sim,not_available,Wi-Fi
TCL,4.0,9990,Helio,4.0,1.8,3.0,32.0,6000.0,0.0,Fast,10.1,800x1280,800.0,1280.0,149.44920605238187,0.0,2.0,0.0,2.0,0.0,Unknown,0.0,Supported,Single Sim,not_available,Wi-Fi
Acer,4.0,12999,Helio,4.0,0.0,3.0,32.0,5100.0,0.0,Unknown,8.7,1340x800,1340.0,800.0,179.38401080367268,0.0,2.0,0.0,8.0,0.0,Unknown,0.0,Supported,Single Sim,not_available,Wi-Fi
Wishtel,4.0,16383,Octa,8.0,2.0,4.0,64.0,8000.0,0.0,Unknown,10.4,2000x1200,2000.0,1200.0,224.26738057097307,0.0,8.0,0.0,13.0,0.0,Unknown,0.0,256GB,Dual Sim,not_available,Wi-Fi
AGM,4.0,16499,Helio,8.0,2.2,8.0,256.0,7000.0,18.0,Fast,10.36,1200x2000,1200.0,2000.0,225.13327779325485,0.0,5.0,0.0,8.0,0.0,Unknown,0.0,2TB,Dual Sim,not_available,Wi-Fi
iKall,4.1,7499,Quad,4.0,1.3,3.0,32.0,4500.0,0.0,Unknown,8.0,480x640,480.0,640.0,100.0,0.0,2.0,0.0,5.0,0.0,Unknown,0.0,32GB,Single Sim,not_available,Wi-Fi
HTC,4.0,18990,Helio,8.0,2.0,4.0,64.0,6000.0,10.0,Fast,10.1,1200x1920,1200.0,1920.0,224.17380907857276,0.0,5.0,0.0,5.0,0.0,Unknown,0.0,256GB,Dual Sim,not_available,Wi-Fi
Teclast,4.25,14990,Helio,8.0,0.0,8.0,128.0,6000.0,0.0,Fast,10.4,2000x1200,2000.0,1200.0,224.26738057097307,0.0,5.0,0.0,13.0,0.0,Android,12.0,1TB,Unknown,Unknown,Wi-Fi
iKall,4.25,3299,Dual,2.0,1.2,0.512,4.0,3000.0,0.0,Unknown,7.0,600x1024,600.0,1024.0,169.54777786686512,0.0,0.3,0.0,2.0,0.0,Unknown,0.0,32GB,Dual Sim,not_available,Wi-Fi
iKall,4.6,3199,Unknown,0.0,0.0,0.512,4.0,2800.0,0.0,Unknown,7.0,1024x600,1024.0,600.0,169.54777786686512,0.0,0.3,0.0,2.0,0.0,Unknown,0.0,Unknown,Dual Sim,not_available,Wi-Fi
